instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,a,1,0.5616,,,,,,,,,0.5616,1,0,9,9,18,1,stimuli/blank.png,human,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,0,0.4967,,,,,,,,,0.4967,0,0,10,10,2,1,stimuli/blank.png,ihr,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6131,,,,,,,,,0.6131,1,0,11,11,11,1,stimuli/blank.png,brutal,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5509,,,,,,,,,0.5509,1,0,12,12,12,1,stimuli/blank.png,fröhlich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.702,,,,,,,,,0.702,1,0,13,13,6,1,stimuli/blank.png,euch,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5847,,,,,,,,,0.5847,1,0,14,14,9,1,stimuli/blank.png,selbst,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5857,,,,,,,,,0.5857,1,0,15,15,5,1,stimuli/blank.png,meine,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.472,,,,,,,,,0.472,1,0,16,16,19,1,stimuli/blank.png,lustlos,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5691,,,,,,,,,0.5691,1,0,17,17,10,1,stimuli/blank.png,aktiv,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.4689,,,,,,,,,0.4689,1,0,18,18,13,1,stimuli/blank.png,verlogen,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6758,,,,,,,,,0.6758,1,0,19,19,14,1,stimuli/blank.png,gerecht,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,2.2848,,,,,,,,,2.2848,1,0,0,0,6,1,stimuli/blank.png,euch,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5987,,,,,,,,,0.5987,1,0,1,1,39,1,stimuli/blank.png,lustlos,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5289,,,,,,,,,0.5289,1,0,2,2,30,1,stimuli/blank.png,aktiv,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
