instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,,,0,-0.481707317,-0.318292683,1,0,0,0.6,button_left,0.6,1,0,8,8,1,1,stimuli/blank.png,ich,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.456097561,-0.330487805,1,0,0,0.639,button_right,0.639,1,0,9,9,8,1,stimuli/blank.png,eure,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.470731707,-0.330487805,1,0,0,0.575,button_right,0.575,1,0,10,10,0,1,stimuli/blank.png,andere,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.476829268,-0.323170732,1,0,0,0.849,button_left,0.849,1,0,11,11,16,1,stimuli/blank.png,begabt,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.459756098,-0.331707317,1,0,0,0.615,button_right,0.615,1,0,12,12,19,1,stimuli/blank.png,lustlos,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.481707317,-0.314634146,1,0,0,0.624,button_left,0.624,1,0,13,13,12,1,stimuli/blank.png,fröhlich,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.46097561,-0.334146341,1,0,0,0.55,button_right,0.55,1,0,14,14,4,1,stimuli/blank.png,jene,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.474390244,-0.326829268,1,0,0,0.699,button_left,0.699,1,0,15,15,14,1,stimuli/blank.png,gerecht,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.462195122,-0.329268293,1,0,0,0.566,button_right,0.566,1,0,16,16,11,1,stimuli/blank.png,brutal,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.480487805,-0.315853659,1,0,0,0.608,button_left,0.608,1,0,17,17,7,1,stimuli/blank.png,eigene,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.458536585,-0.319512195,1,0,0,0.757,button_right,0.757,1,0,18,18,6,1,stimuli/blank.png,euch,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.47804878,-0.320731707,1,0,0,0.558,button_left,0.558,1,0,19,19,5,1,stimuli/blank.png,meine,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.458536585,-0.295121951,1,0,0,0.616,button_left,0.616,1,0,0,0,27,1,stimuli/blank.png,eigene,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.459756098,-0.325609756,1,0,0,0.583,button_right,0.583,1,0,1,1,4,1,stimuli/blank.png,jene,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.470731707,-0.331707317,1,0,0,0.59,button_left,0.59,1,0,2,2,12,1,stimuli/blank.png,fröhlich,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.463414634,-0.320731707,1,0,0,0.733,button_right,0.733,1,0,3,3,39,1,stimuli/blank.png,lustlos,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.476829268,-0.326829268,1,0,0,0.533,button_left,0.533,1,0,4,4,10,1,stimuli/blank.png,aktiv,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.458536585,-0.330487805,1,0,0,0.899,button_right,0.899,1,0,5,5,0,1,stimuli/blank.png,andere,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.476829268,-0.323170732,1,0,0,0.553,button_left,0.553,1,0,6,6,5,1,stimuli/blank.png,meine,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.468292683,-0.32804878,1,0,0,0.615,button_left,0.615,1,0,7,7,14,1,stimuli/blank.png,gerecht,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.46097561,-0.346341463,1,0,0,0.549,button_right,0.549,1,0,8,8,13,1,stimuli/blank.png,verlogen,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.468292683,-0.331707317,1,0,0,0.619,button_left,0.619,1,0,9,9,25,1,stimuli/blank.png,meine,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.462195122,-0.33902439,1,0,0,0.65,button_left,0.65,1,0,10,10,23,1,stimuli/blank.png,mir,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.47195122,-0.326829268,1,0,0,0.64,button_left,0.64,1,0,11,11,1,1,stimuli/blank.png,ich,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.475609756,-0.323170732,1,0,0,0.55,button_left,0.55,1,0,12,12,21,1,stimuli/blank.png,ich,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.47195122,-0.329268293,1,0,0,0.598,button_left,0.598,1,0,13,13,9,1,stimuli/blank.png,selbst,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
