"id","rses_1","rses_2","rses_3","rses_4","rses_5","rses_6","rses_7","rses_8","rses_9","rses_10","rses"
"HL03PT",6,6,7,7,1,7,7,7,7,7,6.2
"AE03TO",7,6,7,7,6,6,7,6,6,7,6.5
"SS09JH",5,3,6,5,7,3,6,4,6,5,5
"JN06AM",7,7,6,7,7,7,7,7,7,7,6.9
"HI05MR",5,2,6,2,7,6,7,4,4,4,4.7
"OA03VL",1,4,3,2,2,2,2,3,5,5,2.9
"JS08VC",6,5,6,6,6,5,5,4,7,6,5.6
"JD01HR",5,3,6,6,7,5,7,1,2,3,4.5
"BT08EW",6,3,7,5,6,3,7,2,6,5,5
"IS02AE",7,7,7,7,7,7,7,7,7,7,7
"RG08MR",6,6,6,6,5,6,6,6,7,7,6.1
"AD09DR",7,3,7,7,7,7,7,3,7,6,6.1
"SS05HR",2,2,5,3,4,2,2,2,3,4,2.9
"NE01TH",6,7,5,5,7,7,6,7,7,5,6.2
"JH12MR",3,2,6,5,6,3,6,1,3,3,3.8
"IG03RM",6,6,6,5,6,5,6,3,5,5,5.3
"AN07DR",1,4,7,7,4,4,7,1,4,4,4.3
"UR12TR",6,7,7,7,7,7,7,5,7,7,6.7
"BR12TO",7,6,6,5,6,3,7,6,7,7,6
"HL20VK",5,6,7,6,7,6,7,2,7,6,5.9
"LC09FN",3,2,6,2,6,5,7,7,4,4,4.6
"WB02MC",3,3,5,5,3,3,5,2,3,4,3.6
"RO12MA",5,3,6,5,5,6,5,4,5,4,4.8
"IN08OE",7,6,6,6,6,7,6,2,7,7,6
"GL07NB",5,3,7,5,3,3,4,1,3,5,3.9
"DN12MS",5,2,7,6,5,3,5,5,6,5,4.9
"KR12RL",6,6,6,5,6,6,7,7,7,6,6.2
"SM11RC",7,6,7,0,7,6,7,7,7,6,6
"GL09IM",4,3,6,6,6,2,5,3,3,4,4.2
"BI11WL",7,7,7,6,7,7,7,7,7,7,6.9
"SB08DM",2,3,6,5,5,5,5,2,5,2,4
"WL09EK",5,5,6,5,5,3,6,3,5,5,4.8
"PG11WL",3,3,5,4,6,5,4,3,3,3,3.9
"HL04MR",5,3,5,3,3,2,3,2,4,5,3.5
"JN06MR",6,6,6,6,5,6,6,5,7,6,5.9
"HI06CR",7,5,7,5,7,6,7,6,7,7,6.4
"SL07PT",7,7,7,6,7,7,7,7,7,7,6.9
"MH03GZ",4,2,7,7,4,3,5,1,3,2,3.8
"BR02HR",5,5,5,5,6,4,6,1,6,6,4.9
"AJ04SE",6,5,5,4,7,5,6,3,6,5,5.2
"JS05KR",5,3,6,6,6,3,7,1,3,6,4.6
