"vpncode","nlt_1","nlt_2","nlt_3","nlt_4","nlt_5","nlt_6","nlt_7","nlt_8","nlt_9","nlt_10","nlt_11","nlt_12","nlt_13","nlt_14","nlt_15","nlt_16","nlt_17","nlt_18","nlt_19","nlt_20","nlt_21","nlt_22","nlt_23","nlt_24","nlt_25","nlt_26","initial","nlt_1_noni","nlt_2_noni","nlt_3_noni","nlt_4_noni","nlt_5_noni","nlt_6_noni","nlt_7_noni","nlt_8_noni","nlt_9_noni","nlt_10_noni","nlt_11_noni","nlt_12_noni","nlt_13_noni","nlt_14_noni","nlt_15_noni","nlt_16_noni","nlt_17_noni","nlt_18_noni","nlt_19_noni","nlt_20_noni","nlt_21_noni","nlt_22_noni","nlt_23_noni","nlt_24_noni","nlt_25_noni","nlt_26_noni","initial_r","initial_r1","initial_r2","initial_r3","initial_r4","mean_noni","nlt_1_sub","nlt_2_sub","nlt_3_sub","nlt_4_sub","nlt_5_sub","nlt_6_sub","nlt_7_sub","nlt_8_sub","nlt_9_sub","nlt_10_sub","nlt_11_sub","nlt_12_sub","nlt_13_sub","nlt_14_sub","nlt_15_sub","nlt_16_sub","nlt_17_sub","nlt_18_sub","nlt_19_sub","nlt_20_sub","nlt_21_sub","nlt_22_sub","nlt_23_sub","nlt_24_sub","nlt_25_sub","nlt_26_sub","ipf1","ipf2","ipf3","ipf4","ipf5","score"
"JD01HR",5,4,4,4,4,1,2,3,1,2,1,4,5,1,5,3,3,5,2,5,4,5,5,3,5,5,"VM",5,4,4,4,4,1,2,3,1,2,1,4,NA,1,5,3,3,5,2,5,4,5,5,3,5,5,"VM","V","M","","",3.44,1.56,0.56,0.56,0.56,0.56,-2.44,-1.44,-0.44,-2.44,-1.44,-2.44,0.56,1.56,-2.44,1.56,-0.44,-0.44,1.56,-1.44,1.56,0.56,1.56,1.56,-0.44,1.56,1.56,5.36269469660774,4.03350215002389,NA,NA,NA,4.69809842331581
"IS02AE",4,3,5,3,2,1,1,2,3,4,1,5,4,5,5,2,1,3,5,5,4,4,2,3,5,4,"NB",4,NA,5,3,2,1,1,2,3,4,1,5,4,5,5,2,1,3,5,5,4,4,2,3,5,4,"NB","N","B","","",3.32,0.68,-0.32,1.68,-0.32,-1.32,-2.32,-2.32,-1.32,-0.32,0.68,-2.32,1.68,0.68,1.68,1.68,-1.32,-2.32,-0.32,1.68,1.68,0.68,0.68,-1.32,-0.32,1.68,0.68,4.69809842331581,2.73536550406116,NA,NA,NA,3.71673196368849
"RG08MR",2,4,3,4,2,2,4,3,1,2,3,2,4,3,4,5,4,4,5,2,2,3,4,3,4,4,"LK",2,4,3,4,2,2,4,3,1,2,NA,2,4,3,4,5,4,4,5,2,2,3,4,3,4,4,"LK","L","K","","",3.2,-1.2,0.8,-0.2,0.8,-1.2,-1.2,0.8,-0.2,-2.2,-1.2,-0.2,-1.2,0.8,-0.2,0.8,1.8,0.8,0.8,1.8,-1.2,-1.2,-0.2,0.8,-0.2,0.8,0.8,1.73536550406116,3.1142474916388,NA,NA,NA,2.42480649784998
"AD09DR",2,4,2,4,3,2,3,3,2,2,4,4,5,5,2,4,1,2,4,1,3,2,2,2,2,3,"M.L.W.",2,4,2,4,3,2,3,3,2,2,4,4,5,5,2,4,1,2,4,1,3,2,NA,2,2,3,"MLW","M","L","W","",2.84,-0.84,1.16,-0.84,1.16,0.16,-0.84,0.16,0.16,-0.84,-0.84,1.16,1.16,2.16,2.16,-0.84,1.16,-1.84,-0.84,1.16,-1.84,0.16,-0.84,-0.84,-0.84,-0.84,0.16,4.03350215002389,3.73536550406116,2.18878165312948,NA,NA,3.31921643573817
"SS05HR",2,3,3,3,2,1,1,2,4,3,1,2,2,4,4,3,2,2,4,3,4,2,1,2,4,4,"SF",2,3,3,3,2,NA,1,2,4,3,1,2,2,4,4,3,2,2,4,3,4,2,1,2,4,4,"SF","S","F","","",2.68,-0.68,0.32,0.32,0.32,-0.68,-1.68,-1.68,-0.68,1.32,0.32,-1.68,-0.68,-0.68,1.32,1.32,0.32,-0.68,-0.68,1.32,0.32,1.32,-0.68,-1.68,-0.68,1.32,1.32,3.24468227424749,1.39996177735308,NA,NA,NA,2.32232202580029
"NE01TH",5,5,1,1,5,4,5,4,1,5,5,2,2,2,1,1,1,1,4,1,1,1,1,1,1,1,"A,N",5,5,1,1,5,4,5,4,1,5,5,2,2,NA,1,1,1,1,4,1,1,1,1,1,1,1,"AN","A","N","","",2.4,2.6,2.6,-1.4,-1.4,2.6,1.6,2.6,1.6,-1.4,2.6,2.6,-0.4,-0.4,-0.4,-1.4,-1.4,-1.4,-1.4,1.6,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,4.13288103201147,1.69809842331581,NA,NA,NA,2.91548972766364
"JH12MR",3,4,4,3,4,3,5,3,3,5,2,2,4,2,5,4,2,1,5,4,3,1,2,1,1,2,"PN",3,4,4,3,4,3,5,3,3,5,2,2,4,NA,5,4,2,1,5,4,3,1,2,1,1,2,"PN","P","N","","",3.04,-0.04,0.96,0.96,-0.04,0.96,-0.04,1.96,-0.04,-0.04,1.96,-1.04,-1.04,0.96,-1.04,1.96,0.96,-1.04,-2.04,1.96,0.96,-0.04,-2.04,-1.04,-2.04,-2.04,-1.04,4.10803631151457,1.69809842331581,NA,NA,NA,2.90306736741519
"IG03RM",3,4,2,3,2,2,1,2,3,4,3,4,4,3,2,1,1,1,3,3,3,2,1,1,1,2,"JA",NA,4,2,3,2,2,1,2,3,4,3,4,4,3,2,1,1,1,3,3,3,2,1,1,1,2,"JA","J","A","","",2.32,0.68,1.68,-0.32,0.68,-0.32,-0.32,-1.32,-0.32,0.68,1.68,0.68,1.68,1.68,0.68,-0.32,-1.32,-1.32,-1.32,0.68,0.68,0.68,-0.32,-1.32,-1.32,-1.32,-0.32,3.99623506927855,2.13288103201147,NA,NA,NA,3.06455805064501
"AN07DR",1,3,2,3,1,3,2,1,2,2,1,1,3,3,4,3,3,4,4,4,3,4,4,5,4,5,"D.J.B.",1,NA,2,3,1,3,2,1,2,2,1,1,3,3,4,3,3,4,4,4,3,4,4,5,4,5,"DJB","D","J","B","",2.88,-1.88,0.12,-0.88,0.12,-1.88,0.12,-0.88,-1.88,-0.88,-0.88,-1.88,-1.88,0.12,0.12,1.12,0.12,0.12,1.12,1.12,1.12,0.12,1.12,1.12,2.12,1.12,2.12,2.79126612517917,1.99623506927855,2.73536550406116,NA,NA,2.50762223283962
"UR12TR",3,1,3,2,4,4,2,2,3,5,2,5,5,5,1,4,1,4,4,4,2,4,2,2,4,3,"CB",3,NA,3,2,4,4,2,2,3,5,2,5,5,5,1,4,1,4,4,4,2,4,2,2,4,3,"CB","C","B","","",3.2,-0.2,-2.2,-0.2,-1.2,0.8,0.8,-1.2,-1.2,-0.2,1.8,-1.2,1.8,1.8,1.8,-2.2,0.8,-2.2,0.8,0.8,0.8,-1.2,0.8,-1.2,-1.2,0.8,-0.2,3.18878165312948,0.735365504061156,NA,NA,NA,1.96207357859532
