"id","neo_1","neo_2","neo_3","neo_4","neo_5","neo_6","neo_7","neo_8","neo_9","neo_10","neo_11","neo_12","neo_13","neo_14","neo_15","neo_16","neo_17","neo_18","neo_19","neo_20","neo_21","neo_22","neo_23","neo_24","neo_25","neo_26","neo_27","neo_28","neo_29","neo_30","neo_31","neo_32","neo_33","neo_34","neo_35","neo_36","neo_37","neo_38","neo_39","neo_40","neo_41","neo_42","neo_43","neo_44","neo_45","neo_46","neo_47","neo_48","neo_49","neo_50","neo_51","neo_52","neo_53","neo_54","neo_55","neo_56","neo_57","neo_58","neo_59","neo_60","neur","xtra","open","agre","cons"
"DR07EA",3,2,3,4,2,2,5,4,3,4,3,2,2,4,5,1,3,4,4,5,2,2,3,2,4,2,1,2,3,2,2,2,3,4,2,4,3,5,3,4,4,4,2,2,3,2,3,3,4,4,3,2,4,4,4,4,3,4,3,2,2.66666666666667,2.66666666666667,3.25,3.33333333333333,3.41666666666667
"BT02IG",4,4,4,5,3,4,4,5,5,3,5,3,4,5,2,4,4,4,5,5,5,3,4,5,4,4,4,4,3,1,5,4,4,5,4,3,3,5,5,5,5,3,4,2,5,4,2,5,5,3,3,3,5,4,4,5,2,4,5,5,4.25,3.25,4.33333333333333,4.5,3.66666666666667
"SL06CR",4,2,2,5,5,2,4,5,3,5,5,2,4,4,4,4,3,5,5,4,4,3,4,5,4,5,2,4,2,4,5,1,4,4,4,4,2,3,4,4,3,1,4,2,2,4,5,5,5,4,2,5,5,5,5,5,1,4,5,4,3.91666666666667,2.58333333333333,4.08333333333333,4.08333333333333,4.08333333333333
"GB06JH",4,3,4,5,4,2,5,5,5,4,4,5,5,5,4,5,4,5,3,5,1,1,5,4,4,1,2,4,1,3,5,3,5,5,5,2,5,2,5,5,2,5,5,5,5,5,3,5,5,5,2,4,4,4,5,1,1,5,4,5,2.83333333333333,3.41666666666667,4.5,4.25,4.5
"AN01TO",2,2,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,2,2,4,4,3,2,3,3,4,3,2,2,4,4,4,2,4,5,5,5,2,4,4,2,5,3,2,4,5,5,2,2,5,4,4,3,2,5,4,4,2.5,2.75,4.16666666666667,4,4.08333333333333
"AE08TO",4,2,5,5,4,4,5,5,5,3,5,4,4,4,1,5,5,5,4,5,5,2,4,4,4,5,4,3,5,5,3,5,4,3,5,1,4,5,5,5,5,5,4,5,4,5,3,5,5,4,5,2,5,5,4,4,3,5,4,5,4.25,3.66666666666667,4.5,4.5,4.08333333333333
"SE06HL",3,4,4,4,3,2,2,3,4,4,1,4,2,4,5,1,5,4,3,4,4,5,2,2,4,1,4,3,4,2,4,2,4,4,3,2,4,1,5,5,2,3,1,5,3,1,2,2,4,4,2,3,5,4,4,5,5,2,2,3,2.33333333333333,3.58333333333333,2.75,3.75,3.66666666666667
"UE06UR",2,4,5,5,2,2,5,5,4,4,2,2,4,4,4,2,5,3,5,5,4,2,4,4,4,1,4,2,4,2,2,2,5,4,5,2,4,5,5,5,4,5,4,2,4,2,4,5,5,4,4,4,4,4,4,4,4,4,2,4,2.58333333333333,3.75,4.16666666666667,4,3.91666666666667
"CA06FI",2,3,2,4,1,2,5,4,5,1,4,3,4,4,3,2,5,4,3,4,2,4,5,4,1,5,3,2,5,1,4,1,4,4,1,2,4,5,2,1,4,2,4,4,1,4,1,3,3,1,4,1,5,2,1,5,3,3,4,2,3.33333333333333,2.91666666666667,3.75,3.66666666666667,1.5
"AN10JR",5,4,3,4,3,2,4,4,4,2,2,2,4,3,4,2,4,3,3,3,2,4,4,4,4,2,3,4,4,3,2,4,4,4,3,2,4,4,3,4,2,5,2,4,4,2,3,4,3,3,2,4,4,2,4,2,4,3,2,3,2.25,3.75,3.58333333333333,3.33333333333333,3.33333333333333
