"id","narq_1","narq_2","narq_3","narq_4","narq_5","narq_6","narq_8","narq_9","narq_10","narq_11","narq_12","narq_13","narq_14","narq_15","narq_18","narq_19","narq_20","narq_21","narq","narq_adm","narq_riv"
"TN11HL",3,2,3,2,3,4,3,3,3,4,4,2,4,1,3,2,3,3,2.88888888888889,2.77777777777778,3
"HN05YS",4,3,0,3,3,1,3,1,1,1,3,3,3,1,1,1,1,1,1.88888888888889,1.88888888888889,1.88888888888889
"VL08ZK",4,2,2,1,5,1,4,3,1,1,2,1,1,1,4,3,1,3,2.22222222222222,3.33333333333333,1.11111111111111
"KR09AF",3,2,4,2,3,1,3,2,1,1,1,1,4,1,3,2,1,3,2.11111111111111,2.77777777777778,1.44444444444444
"CA02MR",5,4,5,4,4,4,4,5,5,4,2,4,1,1,4,4,1,3,3.55555555555556,4.22222222222222,2.88888888888889
"SE07UF",4,3,5,2,5,2,5,5,1,1,2,1,1,1,5,5,1,5,3,4.66666666666667,1.33333333333333
"SB12KR",3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,2,1.33333333333333,1.55555555555556,1.11111111111111
"AJ10TO",4,4,3,2,4,4,2,2,2,4,5,2,2,1,3,3,1,3,2.83333333333333,3.11111111111111,2.55555555555556
"SS03FA",2,3,3,2,4,4,4,2,2,4,4,1,2,1,2,2,1,4,2.61111111111111,2.88888888888889,2.33333333333333
"CR04EW",3,1,2,2,3,2,3,2,2,2,3,1,3,1,1,2,2,3,2.11111111111111,2.22222222222222,2
"SB01MC",2,2,2,2,4,2,2,2,3,1,3,1,2,1,3,2,1,1,2,2.22222222222222,1.77777777777778
"MN09JA",1,3,1,2,1,2,3,1,2,1,2,2,2,1,1,4,1,1,1.72222222222222,1.77777777777778,1.66666666666667
"SB12HL",4,3,2,4,3,5,4,2,4,4,3,2,1,1,1,2,1,4,2.77777777777778,2.77777777777778,2.77777777777778
