"id","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","hsns"
"SL07PT",4,3,1,1,1,3,3,2,4,1,2.3
"MH03GZ",5,4,4,3,4,4,4,4,5,1,3.8
"BR02HR",4,5,3,2,1,3,4,2,3,2,2.9
"AJ04SE",4,5,4,2,4,2,3,3,2,2,3.1
"JS05KR",5,5,4,4,3,4,5,5,4,1,4
"EK12AI",5,3,4,1,5,2,2,1,4,2,2.9
"HI01IG",1,2,3,1,2,4,2,1,3,1,2
"KT12EI",2,5,3,1,1,1,4,1,4,1,2.3
"KT07HN",4,2,4,1,2,2,1,4,4,1,2.5
"MR02OI",5,5,5,1,1,4,5,4,5,2,3.7
"AE11CR",5,2,1,4,3,5,2,4,3,1,3
"AI02RB",4,3,4,4,2,4,4,4,4,2,3.5
"DR09FA",5,4,3,3,3,4,3,4,5,1,3.5
"SS09MR",5,3,2,3,1,2,4,2,5,1,2.8
"SM11HN",5,4,4,3,2,4,4,5,4,4,3.9
"AE03HN",3,4,5,3,2,3,5,1,4,1,3.1
"AJ10AK",5,5,5,1,2,1,5,1,4,1,3
"BI10DE",4,4,2,2,2,4,4,4,3,2,3.1
"NT02CR",5,4,4,2,2,4,4,3,4,1,3.3
"BA01MC",4,5,4,1,4,5,3,4,5,2,3.7
"AE05TB",5,5,5,2,2,2,5,4,5,2,3.7
"AD06VL",3,2,2,1,2,2,2,1,3,1,1.9
"MC10TO",5,5,4,1,3,3,4,4,3,2,3.4
"MR10JR",5,2,3,1,3,3,4,2,4,3,3
"EK06BR",2,3,4,2,2,4,3,5,3,2,3
"MR07TO",5,4,2,4,3,3,5,3,3,1,3.3
"FT05SY",5,4,3,4,4,3,4,1,4,1,3.3
"MOZ08S",4,3,5,4,4,3,4,3,2,4,3.6
"MR09RB",5,4,3,2,2,4,4,2,2,1,2.9
"SE01DE",4,2,2,2,4,3,2,4,3,2,2.8
"MR01SE",4,5,5,2,4,4,4,3,4,2,3.7
"CR07HL",5,4,2,2,2,2,4,3,2,1,2.7
"KR01WR",4,4,4,2,3,4,4,3,3,1,3.2
"AK04WL",4,2,4,1,5,5,4,1,5,3,3.4
"MN06CA",4,4,3,2,4,4,5,2,3,2,3.3
"LL08PT",4,2,2,2,4,2,3,4,3,4,3
"SM03SM",4,4,3,2,3,5,2,3,4,2,3.2
"RG05BC",2,2,2,2,1,2,3,2,4,1,2.1
"GL09MH",5,4,2,2,1,1,4,5,5,1,3
"SR10DA",5,4,2,1,2,4,4,4,2,1,2.9
"AS05MH",3,3,3,3,3,3,3,3,3,3,3
"TN11HL",2,4,5,2,4,4,4,4,4,4,3.7
"HN05YS",4,4,4,2,2,4,4,4,3,2,3.3
"VL08ZK",4,2,2,2,1,4,2,2,1,2,2.2
"KR09AF",4,3,5,2,3,4,4,5,4,1,3.5
"CA02MR",4,2,2,1,2,4,4,4,2,2,2.7
"SE07UF",5,4,2,1,4,2,5,1,2,1,2.7
"SB12KR",1,1,2,1,1,1,1,1,1,1,1.1
"AJ10TO",4,5,4,5,3,4,5,2,4,2,3.8
"SS03FA",5,4,4,3,3,4,4,4,5,4,4
"CR04EW",5,3,2,2,2,4,3,3,3,1,2.8
"SB01MC",2,3,3,2,4,2,3,4,3,2,2.8
"MN09JA",4,5,2,3,3,4,5,2,2,2,3.2
"SB12HL",2,4,2,2,1,2,2,3,3,4,2.5
"PT02RC",5,4,2,2,3,5,4,1,1,1,2.8
"SL03HL",4,5,3,2,1,4,5,2,3,2,3.1
"AD12HU",3,1,1,2,2,4,3,2,2,1,2.1
"HL08RL",3,5,4,1,2,4,5,3,4,2,3.3
"SM06AD",5,5,4,1,1,2,4,2,3,1,2.8
"UE03HN",5,5,5,5,5,5,5,4,5,5,4.9
"AN03OT",5,4,4,2,2,5,4,4,3,2,3.5
"CN10MC",4,4,4,2,1,2,2,4,5,1,2.9
"SS08CR",5,5,5,1,2,4,4,2,5,1,3.4
"DN09BR",5,5,5,2,4,5,5,3,4,1,3.9
"NN08SE",4,5,2,1,2,4,5,4,5,1,3.3
"CR09SE",4,2,3,2,2,3,4,2,2,1,2.5
"KR08EI",5,3,2,4,1,1,1,2,5,1,2.5
"BA08AD",2,2,2,3,4,2,4,1,2,1,2.3
"KR04SB",3,4,1,1,2,5,5,3,5,1,3
"RG12CR",4,2,1,2,4,4,3,3,4,2,2.9
