"id","iri_1","iri_2","iri_3","iri_4","iri_5","iri_6","iri_7","iri_8","iri_9","iri_10","iri_11","iri_12","iri_13","iri_14","iri_15","iri_16","iri_ec","iri_pt","iri_f","iri_pd"
"CA02MR",4,4,4,4,4,2,4,1,4,4,4,5,1,2,4,4,4,3.5,4.25,2
"SE07UF",4,4,2,5,5,2,1,2,4,5,4,3,1,5,3,5,4.25,5,2.75,1.75
"SB12KR",5,3,4,2,4,2,1,1,1,4,2,2,1,4,2,3,3,3.25,2,2
"AJ10TO",5,4,5,4,5,5,3,5,5,3,5,3,5,4,4,4,5,3.75,3.5,5
"SS03FA",5,4,2,4,5,5,4,4,4,4,5,4,2,4,5,3,4.75,3.75,4.25,3.25
"CR04EW",4,3,1,4,4,3,1,3,2,4,4,3,2,3,4,4,3.5,3.75,2.75,2.25
"SB01MC",4,4,4,4,5,4,4,5,4,4,5,4,2,3,5,4,4.5,3.75,4.25,3.75
"MN09JA",4,5,5,5,4,4,3,4,4,5,5,5,2,2,4,4,4.25,4,4.25,3.75
"SB12HL",4,5,2,4,5,2,5,2,2,4,1,5,2,4,5,3,3,3.75,5,2
"PT02RC",5,5,1,5,3,2,3,1,3,5,3,5,1,5,5,4,3.5,4.75,4.5,1.25
"SL03HL",3,2,2,5,4,5,1,2,3,4,3,4,1,2,4,3,3.25,3.5,2.75,2.5
"AD12HU",4,5,2,4,4,1,3,1,2,4,2,3,2,3,3,2,3,3.25,3.5,1.5
"HL08RL",4,5,5,4,5,5,5,5,4,5,5,5,3,2,5,3,4.5,3.5,5,4.5
"SM06AD",4,5,4,5,5,2,1,2,4,4,4,3,5,2,4,4,4.25,3.75,3.25,3.25
"UE03HN",3,5,3,2,4,5,4,4,5,4,3,4,4,4,3,2,3.75,3,4,4
"AN03OT",5,5,3,3,5,4,5,4,5,2,3,4,4,2,2,2,4.5,2.25,4,3.75
"CN10MC",3,4,5,5,4,2,4,4,4,5,4,2,2,5,4,5,3.75,5,3.5,3.25
"SS08CR",5,5,5,5,4,2,5,5,5,5,5,5,3,5,3,5,4.75,5,4.5,3.75
"DN09BR",4,4,5,4,5,5,5,4,4,3,5,4,4,4,4,2,4.5,3.25,4.25,4.5
"NN08SE",5,4,2,1,4,5,4,3,5,5,4,5,2,3,4,2,4.5,2.75,4.25,3
"CR09SE",5,5,1,5,4,4,5,2,4,5,5,5,1,3,5,4,4.5,4.25,5,2
"KR08EI",4,4,3,5,4,2,4,1,4,5,4,4,1,4,2,3,4,4.25,3.5,1.75
"BA08AD",5,3,2,5,4,5,1,4,5,5,3,2,3,3,4,3,4.25,4,2.5,3.5
"KR04SB",5,5,2,4,5,2,5,5,5,4,5,5,2,5,5,5,5,4.5,5,2.75
"RG12CR",2,2,1,4,2,5,1,1,2,4,3,2,2,4,2,4,2.25,4,1.75,2.25
