"id","npi_1","npi_2","npi_3","npi_4","npi_5","npi_6","npi_7","npi_8","npi_9","npi_10","npi_11","npi_12","npi_13","npi_1r","npi_2r","npi_3r","npi_4r","npi_5r","npi_6r","npi_7r","npi_8r","npi_9r","npi_10r","npi_11r","npi_12r","npi_13r","gnpi_la","gnpi_ge","gnpi_ee","gnpi"
"AE08TO",1,2,1,2,1,1,2,2,1,1,2,2,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0.25,0.6,0.5,0.461538461538462
"SE06HL",1,1,2,2,1,1,1,2,2,2,2,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0.75,0.2,0.25,0.384615384615385
"UE06UR",1,2,1,2,1,2,1,1,1,1,2,1,2,1,0,0,0,0,1,0,0,1,1,0,1,0,0.25,0.4,0.5,0.384615384615385
"CA06FI",2,2,1,2,1,1,2,2,1,2,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.6,0,0.230769230769231
"AN10JR",1,1,2,2,1,2,2,1,1,1,2,2,2,1,1,1,0,0,1,1,0,1,1,0,0,0,0.75,0.6,0.25,0.538461538461538
"MC11DT",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"UA12TO",1,2,2,2,1,1,1,1,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0.25,0.230769230769231
"II08ER",1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0.4,0.75,0.692307692307692
"DR10AD",1,2,2,2,1,1,1,1,2,1,1,1,2,1,0,1,0,0,0,0,0,0,1,1,1,0,0.5,0,0.75,0.384615384615385
"DN01SE",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT08RL",1,2,2,2,1,2,1,1,1,1,1,2,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0.5,0.4,0.75,0.538461538461538
"AD09HL",2,2,1,2,1,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN02DE",1,2,1,2,1,1,1,2,1,2,1,2,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0.25,0.4,0.25,0.307692307692308
"SS01OI",2,2,2,2,1,1,1,2,2,1,2,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0.25,0.2,0.25,0.230769230769231
"EA03AE",1,2,2,1,1,1,2,1,1,2,2,2,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0.75,0.4,0,0.384615384615385
"WL03LD",1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,0,1,0,0,0,1,1,1,0,0,0,0.75,0.4,0.25,0.461538461538462
"IG07RL",1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0.5,1,1,0.846153846153846
